HLCL-0|keep going if you are scared keep going
HLCL-399|perhaps most importantly after sleeping hardly at all the night before I climbed into our bed midday for a nice long nap
HLCL-400|I also went to bed early that night and slept in the next morning
HLCL-401|I could finally do that I avoided the phone and email that first day
HLCL-402|I suspected correctly that I was receiving a virtual Avalanche of messages
HLCL-403|I couldn't quite handle it couldn't handle everyone's kindness and sorrow their bewilderment and their theories for where and why we had fallen short
HLCL-404|eventually I dive in but for now bill and I kept the rest of the world out
HLCL-405|I was grateful for the one billionth time that I had a husband who was good company
HLCL-406|not Justin happy times but sad ones as well
HLCL-407|I doubt that many people listening to this will ever lose a presidential election although maybe some have
HLCL-408|hi John I hope you're well
HLCL-409|but we all face loss at some point we all face profound disappointment
HLCL-410|here's what helped me during one of the lowest points in my life
HLCL-411|maybe it'll help you to after that first day I started reaching out to people
HLCL-412|I answered a ton of emails return phone calls it hurt
HLCL-413|there's a reason people isolate themselves when they're suffering
HLCL-414|it can be painful to talk about it painful to hear the concern in our friends voices
HLCL-415|Plus in my case we were all suffering
HLCL-416|everyone was so upset for me for themselves for America
HLCL-417|off and I ended up doing the comforting rather than being comforted
HLCL-418|still it was good to connect I knew isolation wasn't healthy and that I'd need my friends now more than ever
HLCL-419|I knew that putting off those conversations would only make them harder to have later on
HLCL-420|and I badly wanted to thank everyone who had helped my campaign and make sure they were holding up okay under these circumstances
HLCL-421|what helped most was when someone said this has made me even more committed to the fight
HLCL-422|I'm stepping up my donations I've already started volunteering
HLCL-423|I'm posting more on Facebook I won't stay quiet
HLCL-424|anymore and best of all I'm thinking about running for office myself
HLCL-425|a young woman named Hannah one of my field organizers in Wisconsin sent me this note a few days after my loss
HLCL-426|the past two days have been very difficult but when I think about how I felt on Tuesday morning
HLCL-427|when I cried for an hour because I thought we were about to elect our first woman president
HLCL-428|I know we cannot give up even though these last days have been a different kind of crying
HLCL-429|your Poise and Grace have inspired me to stay strong
HLCL-430|I do know that even though we have all been knocked down by this we will rise and through the next few years we will be stronger together and keep fighting for what is right
HLCL-431|from one nasty woman to another thank you
HLCL-432|since I spent a lot of time worrying that my loss would permanently discourage the young people who work for my campaign learning that my defeat hadn't defeated them was a huge relief
HLCL-433|it also roused me if they could keep going so could I
HLCL-434|and maybe if I showed that I wasn't giving up other people would take heart and keep fighting to
HLCL-435|it was especially important to me that all the people who worked on my campaign knew how grateful and proud I was of them
HLCL-436|they've sacrificed a lot over the past two years in some cases putting personal lives on hold moving across the country and working long hours for not that much money
HLCL-437|they never stop believing in me each other and the vision of the country we were working so hard to advance
HLCL-438|now many of them didn't know where their next paycheck would come from
HLCL-439|I did two things right away
HLCL-440|I decided to write and sign letters to all 4400 members of my campaign staff
HLCL-441|thankfully Rob Russo who has been managing my correspondence for years agreed to oversee the whole project
HLCL-442|I also made sure we were able to pay everyone through November 22nd and provide health insurance through the end of the year
HLCL-443|on the Friday after the election we threw a party at a Brooklyn hotel near our headquarters for the circumstances it was surprisingly great
HLCL-444|there was a fantastic band some of the same musicians who played Chelsea and Mark's wedding in 2010 and the dance floor was packed
HLCL-445|it felt a little like an Irish wake celebration amid the sadness
HLCL-446|let it never be said that the Hillary for America staff didn't stick together when it counted
HLCL-447|to help matters there was an open bar
HLCL-448|after everyone worked up a sweat I took the microphone to say thank you
HLCL-449|everyone screamed right back at me
HLCL-450|really I couldn't have asked for more good-natured hard-working team
HLCL-451|I told them how important it was that they not let this defeat discourage them from public service or from throwing themselves into future campaigns with as much heart and commitment as they had given to mine
HLCL-452|I reminded them about the losing campaigns including Gene McCarthy Democratic primaries and George McGovern in 1972
