LAFB-1||party of Ku Klux Klan Riders Gallop to our home in Omaha Nebraska
LAFB-377||eventually my mother suffered a complete breakdown
LAFB-378||and the court orders were finally sign
LAFB-379||they took her to the State Mental Hospital in Kalamazoo
LAFB-380||it was 70 some miles from Lansing about an hour and a half on the bus
LAFB-382||my mother remained in the same hospital at Kalamazoo
LAFB-383||for about 26 years later when I was still growing up in Michigan
LAFB-384||I would go to visit her every so often nothing that I can imagine could have moved me as deeply as seeing her pitiful state
LAFB-385||the 1963 we got my mother out of the hospital and she now lives there in Lansing with filbert in his family
LAFB-386||it was so much worse than if it had been a physical sickness for which a cars might be known medicine given a cure effective
LAFB-387||every time I visited her when finally they led her a case a number back inside from where we had been sitting together I felt worse
LAFB-388||my last visit when I knew I would never come to see her again there
LAFB-389||was in 1952 I was 27
LAFB-390||my brother Philbin had told me that on his last visit she had recognized him somewhat in spots he said
LAFB-391||but you didn't recognize me at all she stared at me she didn't know who I was
LAFB-392||remind when I tried to talk to reach her with somewhere else I asked Mama do you know what day it is
LAFB-393||she said staring all the people have gone
LAFB-394||I can't describe how I felt
LAFB-395||the woman who had brought me into the world and nursed me and advised me and chastise me and loved me didn't know me
LAFB-396||it was as if I was trying to walk up the side of a hill of feathers
LAFB-397||I looked at her I listen to her talk but there was nothing I could do
LAFB-398||I truly believe that if ever a state social agency destroyed a family it destroy hours
LAFB-399||we wanted and tried to stay together our home didn't have to be destroyed
LAFB-400||but the welfare the courts and their doctor gave us the 1-2-3 punch
LAFB-401||and I was was not the only case of this time
LAFB-402||I knew I wouldn't be back to see my mother again because it could make me a very vicious and dangerous person
LAFB-403||knowing how they had looked at us as numbers and as a casein
LAFB-404||a book not if you would be and knowing that my mother in there was a statistic that didn't have to be that existed because of a society's failure hypocrisies greed and lack of mercy and compassion
LAFB-405||pimps have I no mercy or compassion in me for a society that will crush people and then penalize them but not being able to stand up under the weight
LAFB-406||I have rarely talk to anyone about my mother
