BKOB-0||to Michelle my love and life partner
BKOB-402||closest I could find what I had in mind was something called Community organizing
BKOB-403||Grassroots work the broad ordinary people together around issues of local concern
BKOB-404||after bouncing around in a couple of ill fitting jobs in New York
BKOB-405||I heard about division in Chicago working with a group of churches were trying to stabilize communities rack by steel plant closures
BKOB-406||nothing Grand or place I've recorded elsewhere my organizing years in Chicago
BKOB-407||victories were small and transitory in the mostly black working-class neighborhoods where I spent my time
BKOB-408||organization was a big player in its attempts to address the changes were sweeping not just Chicago but cities across the country
BKOB-409||the decline in manufacturing white flight
BKOB-410||the rise of a discrete and disconnected underclass even as a new knowledge class began the fuel gentrification in the urban core
BKOB-411||but if my own impact on Chicago was small the city change the Arc of my life
BKOB-412||for starters it got me out of my own head
BKOB-413||I had to listen to and I just feel right about what matter to people
BKOB-414||I'd ask strangers to join me and one another on real-life projects
BKOB-415||fixing up a Park or removing asbestos from a housing project for starting an after-school program
BKOB-416||experienced failure and learn the back up so I can rally those who put their trust in me
BKOB-417||I suffered rejections and insults often enough to stop fearing them
BKOB-418||in other words I grew up and got my sense of humor back
BKOB-419||I came to love the men and women I worked with the single mom living on a ravaged block we somehow got all four children through college
BKOB-420||the irish priest who threw open the church doors every evening so the kids had an option other than gangs
BKOB-421||laid-off steelworker who went back to school to become a social worker
BKOB-422||their stories of hardship and their modest victories confirm for me again and again the basic decency of people
BKOB-423||through them I saw the transformation that took place when citizens held their leaders and institutions to account
BKOB-424||even on something as small as putting in a stop sign on a busy corner or getting more police patrols
BKOB-425||I noticed how people stood up a little straighter saw themselves differently when they learned their voices matter
BKOB-426||through them I resolved the lingering questions of my racial identity for turned out that there was no single way to be black just trying to be a good man was enough
BKOB-427||through them I discovered a Community of Faith it was okay to doubt to question and still read for something beyond the Here and Now
BKOB-428||and because I heard in church basements and on Bungalow porches the very same values
BKOB-429||honesty and hard work and empathy
BKOB-430||it had been drilled Into Me by my mother and grandparents
BKOB-431||I came to trust the Common Thread that existed between people
BKOB-432||I can't help but wonder sometimes what would have happened if I'd stayed
BKOB-433||organizer or at least some version of it
BKOB-434||like many Local Heroes I've met over the years I might have managed to build up an institution that could reshape a neighborhood for portion of the city
BKOB-435||anchored deep in a community I might have steered money in imagination to change not the world but just that one place for that one set of kids
BKOB-436||doing work that touched the lives of neighbors and friends in some measurable and Youthful way
BKOB-437||but I didn't stay I left for Harvard Law School
BKOB-438||and here's where the story gets murkier in my mind
BKOB-439||with my motives open to interpretation I told myself then and I like to tell myself still but I left organizing because I saw the work I was doing is too slow
BKOB-440||too limited not able to match the needs of the people that I hope to serve
BKOB-441||local job training center couldn't make up for thousands of Steel jobs lost by a plant closing
BKOB-442||an after-school program could compensate for chronically underfunded schools or kids raised by their grandparents because both parents for doing time
BKOB-443||every issue it seemed we kept bumping up against somebody a politician a bureaucrat some distant CEO who had the power to make things better but didn't
BKOB-444||and when we did get concessions from them is most often too little too late
BKOB-445||the power to shape budgets and guide policy was what we needed
BKOB-446||and that power lay elsewhere moreover I came to realize that just two years before I arrived there had been a movement for change in Chicago
